word,score,meaning
abandon,-2,"To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions."
abandoned,-2,"To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions."
abandons,-2,"To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions."
abducted,-2,To take away by force; to carry away (a human being) wrongfully and usually with violence or deception; to kidnap.
abduction,-2,Leading away; a carrying away.
abductions,-2,Leading away; a carrying away.
abhor,-3,To regard with horror or detestation; to shrink back with shuddering from; to feel excessive repugnance toward; to detest to extremity; to loathe.
abhorred,-3,To regard with horror or detestation; to shrink back with shuddering from; to feel excessive repugnance toward; to detest to extremity; to loathe.
abhorrent,-3,"Inconsistent with, or far removed from, something; strongly opposed"
abhors,-3,To regard with horror or detestation; to shrink back with shuddering from; to feel excessive repugnance toward; to detest to extremity; to loathe.
abilities,2,Suitableness.
ability,2,Suitableness.
aboard,1,"On board; into or within a ship or boat; hence, into or within a railway car."
absentee,-1,"A person who is absent from his or her employment, school, post, duty, etc."
absentees,-1,"A person who is absent from his or her employment, school, post, duty, etc."
absolve,2,"To set free, release or discharge (from obligations, debts, responsibility etc.)."
absolved,2,"To set free, release or discharge (from obligations, debts, responsibility etc.)."
absolves,2,"To set free, release or discharge (from obligations, debts, responsibility etc.)."
absolving,2,"To set free, release or discharge (from obligations, debts, responsibility etc.)."
absorbed,1,To include so that it no longer has separate existence; to overwhelm; to cause to disappear as if by swallowing up; to incorporate; to assimilate; to take in and use up.
abuse,-3,"Improper treatment or usage; application to a wrong or bad purpose; an unjust, corrupt or wrongful practice or custom."
abused,-3,To put to a wrong use; to misapply; to use improperly; to misuse; to use for a wrong purpose or end; to pervert
abuses,-3,"Improper treatment or usage; application to a wrong or bad purpose; an unjust, corrupt or wrongful practice or custom."
abusive,-3,"Prone to treat someone badly by coarse, insulting words or other maltreatment; vituperative; reproachful; scurrilous."
accept,1,"To receive, especially with a consent, with favour, or with approval."
accepted,1,"To receive, especially with a consent, with favour, or with approval."
accepting,1,"To receive, especially with a consent, with favour, or with approval."
accepts,1,"To receive, especially with a consent, with favour, or with approval."
accident,-2,An unexpected event with negative consequences occurring without the intention of the one suffering the consequences.
accidental,-2,A property which is not essential; a nonessential; anything happening accidentally.
accidentally,-2,"In an accidental manner; by chance, unexpectedly."
accidents,-2,An unexpected event with negative consequences occurring without the intention of the one suffering the consequences.
accomplish,2,To finish successfully.
accomplished,2,To finish successfully.
accomplishes,2,To finish successfully.
accusation,-2,The act of accusing.
accusations,-2,The act of accusing.
accuse,-2,Accusation.
accused,-2,"To find fault with, blame, censure"
accuses,-2,"To find fault with, blame, censure"
accusing,-2,"To find fault with, blame, censure"
ache,-2,"Continued dull pain, as distinguished from sudden twinges, or spasmodic pain."
achievable,1,"Capable of being achieved, which either means possible or probable."
aching,-2,"To suffer pain; to be the source of, or be in, pain, especially continued dull pain; to be distressed."
acquit,2,To declare or find innocent or not guilty.
acquits,2,To declare or find innocent or not guilty.
